towID,date,region,tl,wt,age
434,6/7/2016,Ontario-West,65,NA,NA
434,6/7/2016,Ontario-West,94,NA,NA
414,6/5/2016,Ontario-West,86,NA,NA
434,6/7/2016,Ontario-West,64,NA,NA
434,6/7/2016,Ontario-West,76,NA,NA
434,6/7/2016,Ontario-West,53,NA,NA
427,6/7/2016,Ontario-West,73,NA,NA
434,6/7/2016,Ontario-West,59,NA,NA
417,6/6/2016,Ontario-West,75,NA,NA
434,6/7/2016,Ontario-West,89,NA,NA
414,6/5/2016,Ontario-West,119,NA,NA
414,6/5/2016,Ontario-West,82,NA,NA
434,6/7/2016,Ontario-West,69,NA,NA
434,6/7/2016,Ontario-West,59,NA,NA
476,6/7/2016,Ontario-West,97,NA,NA
427,6/7/2016,Ontario-West,68,NA,NA
417,6/6/2016,Ontario-West,87,NA,NA
476,6/7/2016,Ontario-West,64,NA,NA
417,6/6/2016,Ontario-West,75,NA,NA
434,6/7/2016,Ontario-West,87,5.22,4
417,6/6/2016,Ontario-West,53,1.03,1
434,6/7/2016,Ontario-West,73,NA,NA
427,6/7/2016,Ontario-West,41,NA,NA
427,6/7/2016,Ontario-West,46,NA,NA
434,6/7/2016,Ontario-West,104,NA,NA
427,6/7/2016,Ontario-West,106,NA,NA
427,6/7/2016,Ontario-West,88,NA,NA
476,6/7/2016,Ontario-West,88,NA,NA
427,6/7/2016,Ontario-West,65,NA,NA
476,6/7/2016,Ontario-West,75,NA,NA
434,6/7/2016,Ontario-West,84,NA,NA
427,6/7/2016,Ontario-West,83,NA,NA
434,6/7/2016,Ontario-West,122,NA,NA
427,6/7/2016,Ontario-West,134,18.3,9
417,6/6/2016,Ontario-West,43,0.84,1
434,6/7/2016,Ontario-West,67,NA,NA
427,6/7/2016,Ontario-West,44,NA,NA
427,6/7/2016,Ontario-West,71,NA,NA
434,6/7/2016,Ontario-West,83,NA,NA
427,6/7/2016,Ontario-West,44,NA,NA
427,6/7/2016,Ontario-West,84,NA,NA
414,6/5/2016,Ontario-West,50,NA,NA
434,6/7/2016,Ontario-West,84,NA,NA
414,6/5/2016,Ontario-West,70,NA,NA
476,6/7/2016,Ontario-West,106,NA,NA
434,6/7/2016,Ontario-West,84,NA,NA
427,6/7/2016,Ontario-West,46,NA,NA
434,6/7/2016,Ontario-West,79,NA,NA
434,6/7/2016,Ontario-West,70,NA,NA
427,6/7/2016,Ontario-West,61,NA,NA
434,6/7/2016,Ontario-West,45,NA,NA
427,6/7/2016,Ontario-West,94,NA,NA
434,6/7/2016,Ontario-West,74,NA,NA
414,6/5/2016,Ontario-West,60,NA,NA
